text,intent,sample_type,noise_level
misi gimana sih kupluk rajut unisex arctic cozy makasih,product_description,keyword_based,medium
Tolong info detail,product_description,hard_negative,low
Bingung nih,out_of_scope,ambiguous,low
Admin ready transfer sekarang ??,payment_info,keyword_based,low
Jaket puffer pria omniheat solid bertudung-biru-kuning-l ada diskon ga,product_price,keyword_based,low
hai stok berapa pls,product_stock,keyword_based,low
jaket puffer pria omniheat solid bertudung-biru-hijau-m original ga,product_description,generic,low
ready ga brapa harganya,out_of_scope,ambiguous,low
totalnya berapa,product_price,keyword_based,clean
Sarung Tangan Musim Dingin Arctic Layar Sentuh ada diskon ga,product_price,keyword_based,medium
bisa beli Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L,product_stock,keyword_based,clean
eh ad promo omniheat men's solid hooded puffer jacket,product_price,keyword_based,high
Omniheat men's solid hooded puffer jacket-blue-green-l ready,product_stock,keyword_based,high
bos kemahalan ga Kupluk Rajut Unisex Arctic C0zy sih,product_price,generic,medium
Kapan ready bayar,payment_info,hard_negative,clean
btw jaket puffer pria omniheat solid bertudung-biru-kuning-m original ga ?,product_description,generic,low
price Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L,product_price,keyword_based,medium
kapan ready jaket puffer pria omniheat solid bertudung-biru-kuning-m,product_stock,hard_negative,clean
itu aja,out_of_scope,ambiguous,low
permisi refund available ya,out_of_scope,hard_negative,medium
kak cara nya gimana ya deh,payment_info,generic,medium
ready stock paket aksesori musim dingin arct1c frost,product_stock,keyword_based,high
Jaket puffer pria omniheat solid bertudung-biru-hijau-m ready stock,product_stock,keyword_based,low
bisa bayar gopay,payment_info,keyword_based,medium
Ok,out_of_scope,ambiguous,clean
Ready tansefr sekarang,payment_info,keyword_based,low
Jaket Puffer Pria OmniHeat SSolid Bertudung-Biru-Kuning-M hrgnyanya brapa,product_price,keyword_based,medium
Jakt puffer pria omnihat solid bertudung-biru-kuning-m tinggal berapa,product_stock,keyword_based,low
Ya,out_of_scope,ambiguous,low
eh ada promo omniheat men's solid hooded puffer jacket-blue-green-l min,product_price,keyword_based,high
batalkan order,out_of_scope,keyword_based,medium
jaket puffer pria omniheat solid bertudung-biru-kuning-l ready,product_stock,keyword_based,low
Hai jaket puffer pria omniheat solid bertudung-biru-hijau-m brp,product_price,hard_negative,medium
min kemahalan ga paket aksesori msuim dingin arctic frost deh,product_price,generic,medium
Ubah alamat pengiriman,out_of_scope,keyword_based,clean
hai minimum bayar berapa sih,payment_info,keyword_based,high
bos in stock ga OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L thanks,product_stock,generic,low
Lanjut,out_of_scope,ambiguous,clean
in stock ga omniheat men's solid hooded puffer jacket-blue-green-l,product_stock,generic,low
misi info hrgnya dong ?,product_price,keyword_based,medium
hrg OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L brapa,product_price,keyword_based,medium
misi minta info produk thx,product_description,hard_negative,medium
Ekonomis ga,product_price,generic,low
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L gimana,product_description,keyword_based,clean
arctic frost winter accessories mahal ga,product_price,generic,clean
kualitasnya gimana paket aksesori musim dingin arctic frost,product_description,keyword_based,clean
ready transfer sekarang,payment_info,keyword_based,low
Ukuran jaket puffer pria omniheat solid bertudung-biru-kuning-m berapa,product_description,keyword_based,medium
kemahalan ga sarung tangan musim dingin arctic layar sentuh,product_price,generic,clean
Paket aksesori musim dingin arctic frost murah ga,product_price,generic,clean
Hai jaket puffer pria omniheat solid bertudung-biru-hijau-m original ga min,product_description,generic,high
Harga paket aksesori musim dingin arctic frost berapa,product_price,keyword_based,medium
mau tanya yang kemarin,order_status,generic,clean
kapan ready Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L,product_stock,hard_negative,low
harganya berapa,product_price,hard_negative,clean
Barang cacat,out_of_scope,keyword_based,clean
Halo kupluk rajut unisex arctic cozy keren ga ?,product_description,generic,medium
Mau komplain,out_of_scope,keyword_based,clean
Kaus kaki campuran wol arctic warmth habis belum,product_stock,generic,clean
hi ready stock Jaket Puffer Pria kan OmniHeat Solid Bertudung-Biru-Hijau-M thx,product_stock,keyword_based,high
bos bayar gimana caranya,payment_info,keyword_based,high
order #99 berapa hari lagi,order_status,keyword_based,low
kak biaya admin berapa thanks,payment_info,keyword_based,low
pilihannya apa,payment_info,generic,clean
Yang kemarin gimana,order_status,hard_negative,low
Opsi apa aja,payment_info,generic,low
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M bisa dibeli,product_stock,keyword_based,clean
ready bayar sekarang,payment_info,hard_negative,low
Bos itu gimana kelanjutannya,order_status,generic,medium
jam buka toko,out_of_scope,keyword_based,clean
Halo mau kerja disini sih,out_of_scope,keyword_based,medium
cocok ga Kupluk Rajut Unisex Arctic Cozy,product_description,generic,medium
Permisi mau yang ready thanks,product_stock,hard_negative,clean
hi redy stock OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L please,product_stock,keyword_based,high
Yang ready apa aja,product_stock,keyword_based,clean
ada cicilan ga,payment_info,keyword_based,clean
btw yng sy beli kemarin gmn thanks,order_status,generic,low
on the way kapan,order_status,hard_negative,clean
Misi mau kerja disini ??,out_of_scope,keyword_based,high
pricey ga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_price,generic,clean
Itu gimana pesanannya,order_status,hard_negative,medium
Arctic frost winter accessories bundle kayak gimana,product_description,generic,low
Cancel deh ordr gimana,out_of_scope,hard_negative,medium
sampa mana ya,order_status,generic,high
admin yaang kmarin gimana ya,order_status,hard_negative,medium
OmniHeat Men's Solid Hoded Puffer Jacket-Blue-Green-M gimana reviewnya,product_description,hard_negative,medium
jadi reseller gimana,out_of_scope,keyword_based,low
Ada ukuran apa paket aksesori musim dingin arctic frost,product_description,keyword_based,clean
Btw pesanan berapa lama sampai pls,order_status,keyword_based,medium
ad opsi shopeepay,payment_info,keyword_based,medium
Pesanan saya gimana,order_status,keyword_based,low
Belum nyampe nih,order_status,generic,medium
Mau tau omniheat men's solid hooded puffer jacket-blue-green-m,product_description,hard_negative,low
Pake apa,payment_info,generic,clean
Tracking pesanan 1,order_status,keyword_based,clean
spesifikasi arctci froost winter accessories,product_description,keyword_based,medium
halo paket aksesori musim dingin arctic frost ready stock makasih,product_stock,keyword_based,low
hi bisa ambil langsung ga thanks,out_of_scope,keyword_based,medium
halo kok lama ya ya,order_status,generic,medium
tlong ya kak,out_of_scope,ambiguous,low
ada stok omniheat men's solid hooded puffer jacket-blue-green-m,product_stock,keyword_based,clean
gimana OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_description,hard_negative,low
ready bayar apa,payment_info,hard_negative,low
refund available,out_of_scope,hard_negative,low
dimana,out_of_scope,ambiguous,clean
Order ready dikirim belum thx,order_status,keyword_based,medium
Pilihannya apa sih,payment_info,generic,high
Masih bisa dibeli arctic frost winter accessories,product_stock,generic,low
Ini ya,out_of_scope,ambiguous,clean
ada omniheat men's solid hooded puffer jacket-blue-green-m,product_stock,keyword_based,medium
stok Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L ada,product_stock,keyword_based,low
bos terjangkau ga ya kak,product_price,generic,medium
Paket Aksesori Musim Dingin Arctic Frost bisa dibeli,product_stock,keyword_based,clean
misi deskripsi Kaus Kaki Campuran Wol Arctic Warmth ??,product_description,keyword_based,medium
hai produk beda sama gambr thx,out_of_scope,keyword_based,medium
cara refund gmana,out_of_scope,keyword_based,low
bahan Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M apa,product_description,keyword_based,clean
Hai ukuran jaket puffer pria omniheat solid bertudung-biru-kuning-m brapa makasih,product_description,keyword_based,medium
hemat ga Kupluk Rajut Unisex Arctic Cozy,product_price,generic,medium
Arctic Bliss Stylish Winter Scarf harganya berapa,product_price,keyword_based,low
Yang dipesan gimana,order_status,hard_negative,medium
harga OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M gimana,product_price,keyword_based,high
syal musim dingin arctic bliss penuh gaya bagus ga,product_description,generic,clean
kak masih jual OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_stock,generic,low
permisi jaket puffer pria omniheat solid bertudung-biru-hijau-m harganya berapa ??,product_price,keyword_based,high
Ada opsi cicilan,payment_info,keyword_based,medium
Mau tau kupluk rajut unisex arctic cozy,product_description,hard_negative,medium
Kaus Kaki Campuran Wol Arctic Warmth habis belum,product_stock,generic,low
sisanya berapa,product_stock,hard_negative,clean
kualitasnya gimaa jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,keyword_based,high
gimana sih kupluk rajut unisex arctic cozy,product_description,keyword_based,low
Info ordr 67890,order_status,keyword_based,medium
ada arctic bliss stylish winter scarf,product_stock,keyword_based,medium
kak mau info tentang Paket Akksesori Musim Dingin Arctic Frost thanks,product_description,keyword_based,medium
Bos cara nya gimana ya makasih,payment_info,generic,medium
Ada ukuran apa syal musim dingin arctic bliss penuh gaya,product_description,keyword_based,low
admin cek order sih,order_status,hard_negative,medium
kupluk rajut unisex arctic cozy tinggal berapa,product_stock,keyword_based,clean
deskripsi Arctic Frost Winter Accessories Bundle,product_description,keyword_based,clean
Bisa langsung dikirm,product_stock,generic,low
OmniHeat Men's Solid Hooded Puffer Jacket keren ga,product_description,generic,clean
hai produk tidak nih sesuai deh,out_of_scope,keyword_based,medium
bantuin dong,out_of_scope,ambiguous,low
Misi syal musim dingin arctic bliss penuh gaya berapa pls,product_price,keyword_based,low
Bos tolong info detail ?,product_description,hard_negative,low
mau tau harga Kupluk Rajut Unisex Arctic Cozy,product_price,hard_negative,clean
Langsung kiirim bisa omniheat men's solid hooded puffer jacket,product_stock,generic,medium
Bos yang itu dong please,out_of_scope,ambiguous,low
OmniHeat Men's Solid Hooded Puffer Jacket gimana reviewnya,product_description,hard_negative,medium
permisi lagi diskon ga makasih,product_price,generic,medium
gan asli ga Sarung Tangan Musim Dingin Arctic Layar Sentuh thanks,product_description,generic,medium
deskripsi Paket ya Aksesori Musim Dingin Arctic Frost,product_description,keyword_based,high
Gan boleh tau harganya please,product_price,hard_negative,low
info lengkap omniheat men's solid hooded puffer jacket,out_of_scope,ambiguous,low
kapan ready bayar,payment_info,hard_negative,medium
Hai worth it ga beli kaus kaki campuran wol arctic warmth ?,product_description,generic,high
kemahalan ga Kupluk Rajut Unisex Arctic Cozy,product_price,generic,clean
gan info arctic bliss stylish winter scarf ya kak,product_description,keyword_based,medium
Kapan kan bisa diambil,order_status,hard_negative,low
itu gimana bahannya,product_description,hard_negative,clean
ada hmm omniheat men's solid hooded puffer jacket-blue-green-l,product_stock,keyword_based,low
mau kembalikan barang,out_of_scope,keyword_based,low
bayar giman@ caranya,payment_info,keyword_based,medium
btw harga dan stok omniheat men's solid hooded puffer jacket ??,out_of_scope,ambiguous,low
gimana harganay,product_price,keyword_based,medium
kemahalan ga paket aksesori musim dingin arctic frost,product_price,generic,clean
halo minimum baayar berapa thx,payment_info,keyword_based,high
jaket puffer pria omniheat solid bertudung-biru-kuning-m ready,product_stock,keyword_based,medium
Btw bisa ambil langsung ga dong,out_of_scope,keyword_based,low
eh pricey ga arctic frost winter accessories bundle dong,product_price,generic,medium
biaya admin nih brapa,payment_info,keyword_based,medium
Berapa lama refund,out_of_scope,hard_negative,medium
kiriman gimana,order_status,hard_negative,clean
info order 67890,order_status,keyword_based,low
Hai traacking refund please,out_of_scope,hard_negative,medium
Yang tadi,out_of_scope,ambiguous,clean
gimana kabar jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_description,hard_negative,clean
Berapa harga kaus kaki campuran wol arctic warmth,product_price,keyword_based,low
eh ada stock omniheat men's solid hooded puffer jacket-blue-green-l ??,product_stock,keyword_based,low
mau info tentang Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M,product_description,keyword_based,low
gan terjangkau ga ya kak,product_price,generic,high
admin stoknya berappa ya thanks,product_stock,hard_negative,medium
Detail kaus kaki campuran wol arctic warmth,product_description,hard_negative,low
Kecewa sama pelayanan dong,out_of_scope,keyword_based,low
barangnya gimana,product_description,hard_negative,clean
gimana Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L,product_description,hard_negative,clean
info order #55,order_status,keyword_based,high
available ga jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_stock,generic,medium
bos bs dicuci ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L sih,product_description,keyword_based,high
gan yang ready apa aja makasih,product_stock,keyword_based,medium
Hi ada stok paket aksesori musiim dingin arctic frost ??,product_stock,keyword_based,medium
ada info pengiriman #555,order_status,keyword_based,high
paket aksesori musim dingin arctic frost available,product_stock,hard_negative,medium
eh promo cancel ya,out_of_scope,hard_negative,low
Sarung Tangan Musim Dingin Arctic Lyaar Sentuh ada diskon ga,product_price,keyword_based,medium
terima linkaja,payment_info,generic,medium
halo mau tau harga ya,product_price,hard_negative,low
order ready dikirim beulm,order_status,keyword_based,high
Masuk kapan omniheat men's solid hooded puffer jacket-blue-green-m,product_stock,hard_negative,low
info harga OmniHeat Men's Solid Hooded Puffer Jacket,product_price,keyword_based,medium
min udah berapa lama diproses thx,order_status,keyword_based,medium
Ada warna apa jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_description,keyword_based,low
Ganti ukuran pesanan,out_of_scope,keyword_based,medium
yang saya pesan deh udah sampai mana,order_status,generic,low
Udah jalan belum sih,order_status,generic,high
stok beapa,product_stock,keyword_based,low
Sarung tangan musim dingin arctic layar sentuh masih ada,product_stock,keyword_based,low
admin info return,out_of_scope,hard_negative,clean
Jaket Puffer Pria OmniHaet Solid Bertudung-Biru-Hijau-M ada diskon ga,product_price,keyword_based,high
min kualitasnya gimana ya,product_description,hard_negative,clean
Gan batalkan ordeer ?,out_of_scope,keyword_based,high
gan syal musim dingin arctic bliss penuh gaya bagus ga pls,product_description,generic,low
ayng saya pesan kemarin itu,order_status,generic,medium
ubah alamat pengiriman,out_of_scope,keyword_based,high
gan gimana sih OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M makasih,product_description,keyword_based,high
ready stock jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_stock,hard_negative,clean
eh deskripsi Kaus Kaki Campuran Wol Arctic Warmth makasih,product_description,keyword_based,medium
misi support cicilan deh,payment_info,generic,high
tolong,out_of_scope,ambiguous,low
hai,out_of_scope,ambiguous,clean
detail omniheat men's solid hooded puffer jacket-blue-green-m,product_description,hard_negative,low
price arctic bliss stylish winter scarf,product_price,keyword_based,low
Orderan saya gmn,order_status,hard_negative,medium
kaus kaki campuran wol arctic warmth keren ga,product_description,generic,low
hrgnya dan stk Arctic Frost Winter Accessories,out_of_scope,ambiguous,low
yang saya beli kemrinn gimana,order_status,generic,low
tahan lama ga kupluk rajut unisex arctic cozy,product_description,generic,low
Bayar gimana caranya,payment_info,keyword_based,high
murahan ga jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_price,generic,low
bos stknya berapa min,product_stock,hard_negative,medium
info order 123,order_status,keyword_based,clean
harga promo,product_price,hard_negative,clean
barang cacat,out_of_scope,keyword_based,clean
Tersedia sarung tangan musim dingin arctic layar sentuh ga,product_stock,keyword_based,low
Yang itu dong,out_of_scope,ambiguous,clean
B3rapa lama lagi nyampe,order_status,keyword_based,medium
gimana kabar Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M,product_description,hard_negative,low
berat Kaus Kaki Campuran Wol Arctic Warmth berapa,product_description,keyword_based,clean
metode pembayaran apa aja,payment_info,keyword_based,low
ada update pesanan #1235,order_status,keyword_based,low
support cash,payment_info,generic,low
ada arctic frost winter accessories,product_stock,hard_negative,low
Btw pakai apa bisa thanks,payment_info,generic,clean
Metode pembayaran apa aja,payment_info,keyword_based,low
Bos tolong,out_of_scope,ambiguous,low
eh berapa banyak gitu stok ya kak,product_stock,keyword_based,high
ya,out_of_scope,ambiguous,low
Order 99 berapa hari lagi,order_status,keyword_based,clean
bos berapa harga omniheat men's solid hooded puffer jacket-blue-green-m,product_price,keyword_based,clean
Recommended ga kaus kaki campuran wol arctic hmm warmth,product_description,generic,high
gimnaa harganay,product_price,keyword_based,low
Mau tau harga kupluk rajut unisex arctic cozy,product_price,hard_negative,clean
mau tau harga omniheat men's solid hooded puffer jacket-blue-green-l,product_price,keyword_based,medium
yang dipesan gimana,order_status,hard_negative,clean
Detail hmm omniheat men's solid hooded puffer jacket-blue-green-l,product_description,hard_negative,low
permisi mau info tentang omniheat men's solid hooded puffer jacket-blue-green-m please,product_description,keyword_based,low
Tracking psnan ord-555,order_status,keyword_based,medium
Yang saya pesan kemarin itu,order_status,generic,medium
Via apa,payment_info,generic,low
Bisa pake cod ga,payment_info,keyword_based,low
gimana sih Kaus Kaki Campuran Wol Arctic Warmth,product_description,keyword_based,clean
gimana harganya,product_price,keyword_based,medium
eh kaus kaki campuran wol arctic warmth tinggal berapa please,product_stock,keyword_based,medium
bos jadi reseller gimana thx,out_of_scope,keyword_based,clean
gimana sih Arctic Frost Winter Accessories,product_description,keyword_based,low
admin bisa dapet jaket puffer pria omniheat solid bertudung-biru-kuning-m thx,product_stock,generic,medium
harga Sarung Tangan Musim Dingin Arctic Layar Sentuh gimana,product_price,keyword_based,medium
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L bisa dipakai untuk apa,product_description,keyword_based,low
tracking pesanan #1,order_status,keyword_based,clean
masih jual sarung tangan musim dingin arctic layar sentuh,product_stock,generic,clean
totalnya berappa,product_price,keyword_based,medium
cek pesanan 123,order_status,keyword_based,low
hi udah brapa lama diproses pls,order_status,keyword_based,low
berapa banyak sstok,product_stock,keyword_based,medium
bayar gimana caranya,payment_info,keyword_based,clean
bahan kaus kaki campuran wol arctic warmth apa,product_description,keyword_based,low
kemahalan ga Jaaket Puffer Pria OmniHeatt Solid Bertudung-Biru-Kuning-L,product_price,generic,medium
halo bisa langsung dikirim ??,product_stock,generic,low
ada komplain,out_of_scope,hard_negative,low
masih jual omniheat men's solid hooded puffer jacket,product_stock,generic,clean
kak poses refund berapa alma thx,out_of_scope,keyword_based,medium
Stok jaket puffer pria omniheat solid bertudung-biru-hijau-m ada,product_stock,keyword_based,medium
kak kapan bisa diambil ya kak,order_status,hard_negative,low
gan transfer gimanna ya kak,payment_info,keyword_based,low
Lagi promo ga sarung tangan musim dingin arctic layar sentuh,product_price,generic,medium
satuan beraapa,product_price,hard_negative,medium
Spesifikasi jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_description,keyword_based,low
masih bisa dibeli sarung tangan musim dingin arctic layar sentuh,product_stock,generic,high
Kualitasnya gimana,product_description,hard_negative,clean
Ready ga sarung tangan musim dingin arctic layar sentuh,product_stock,keyword_based,low
Mau tau harga kaus kaki campuran wol arctic warmth,product_price,keyword_based,low
Bos kapan ready jaket puffer pria omniheat solid bertudung-biru-kuning-l ya kak,product_stock,hard_negative,medium
kak lowongan kerja ada ga thx,out_of_scope,keyword_based,clean
Produk bea hmm sama gambar,out_of_scope,keyword_based,medium
mau tuker ukuran,out_of_scope,keyword_based,medium
Eh berapa lamaa refund thanks,out_of_scope,hard_negative,medium
stok Arctic Bliss Stylish Winter Scarf ada,product_stock,keyword_based,clean
affordable ga Kupluk Rajut Unisex Arctic Cozy,product_price,generic,high
Bisa bayar qris,payment_info,keyword_based,low
yang kemarin udah dikirim belum,order_status,generic,clean
Minta info produk,product_description,hard_negative,low
btw mau tuker ukuran dong,out_of_scope,keyword_based,medium
harga jaket puffer pria omniheat solid bertudung-biru-kuuning-m gimana,product_price,keyword_based,medium
ada promo OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_price,keyword_based,clean
alamat toko dimana,out_of_scope,keyword_based,clean
halo itu gimana kelanjutannya deh,order_status,generic,medium
hrgnya sarung tangan musim dingin arctic layar sentuh gmana,product_price,keyword_based,low
Harga arctic bliss stylish winter scarf berapa,product_price,keyword_based,low
Info lengkap jaket puffer pria omniheat solid bertudung-biru-kuning-m,product_description,keyword_based,low
Ada promo jaket puffer pria omniheat solid bertudung-biru-kuning-m,product_price,keyword_based,medium
eh bisa dapet arctic frost winter accessories dong,product_stock,keyword_based,medium
accept shopeepay,payment_info,generic,low
Bayar kan gimana caranya,payment_info,keyword_based,high
permisi itu udah jalan belum ?,order_status,generic,clean
omniheat men's solid hooded puffer jacket-blue-green-m ready,product_stock,keyword_based,low
hai halo,out_of_scope,ambiguous,low
Kak bisa langsung dikirim thx,product_stock,generic,high
min pake bri bisa ??,payment_info,generic,medium
barang rusak,out_of_scope,keyword_based,low
status refund,out_of_scope,hard_negative,clean
price OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_price,keyword_based,medium
Hi status refund ??,out_of_scope,hard_negative,medium
Arctic frost winter accessories bundle ready stock,product_stock,keyword_based,low
min asli ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M min,product_description,generic,medium
Syal Musim Dingin Arctic Bliss Pnuh Gaya tuh apa sih,product_description,generic,medium
permisi info harga jaket puffer pria omniheat solid bertudung-biru-kuning-l deh,product_price,keyword_based,clean
kapan dikirim,order_status,hard_negative,low
Lacak order 789,order_status,keyword_based,low
Order ord-001 berapa hari lagi,order_status,keyword_based,medium
permisi arctic frost winter accessories bundle sold out,product_stock,generic,medium
Kupluk Rajut Unisex Arctic Cozy murah ga,product_price,generic,low
mau tau harga Arctic Frost Winter Accessories Bundle,product_price,keyword_based,clean
Mau kembalikan brg,out_of_scope,keyword_based,medium
Halo gimana sih syal musim dingin arctic bliss penuh gaya thx,product_description,keyword_based,medium
bisa langsung dikirim,product_stock,generic,clean
share info harga,product_price,hard_negative,clean
Min transfer berapa ??,payment_info,keyword_based,low
halo udah diproses belum please,order_status,generic,clean
Status order 123,order_status,keyword_based,clean
order ready kapan,order_status,hard_negative,medium
tahan lama ga Sarung Tangan Musim Dingin Arctic Layar Sentuh,product_description,generic,clean
sarung tangan musim dingin arctic layar sentuh habis belum,product_stock,generic,clean
hi yang ini sisa berapa ya,product_stock,hard_negative,clean
OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M bagus ga,product_description,generic,medium
uang saya kpn dikembalikan,out_of_scope,keyword_based,high
permisi kualitasnya gmn kupluk rajut unisex 4rctic cozy ya,product_description,keyword_based,high
eh Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M bagus ga,product_description,generic,medium
Gimana kkabar pesaan,order_status,hard_negative,medium
sampai mana ya,order_status,generic,clean
info pengiriman pesanan saya,order_status,keyword_based,clean
Berapa unit jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_stock,hard_negative,low
Arctic frost winter accessories waterproof ga,product_description,generic,medium
mau tau harga jaket puffer pria omniheat solid bertudung-biru-kuning-l,product_price,keyword_based,high
kena berapa arctic frost winter sih accessories bundle,product_price,keyword_based,low
bs dicuci ga OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-L,product_description,keyword_based,high
Info omniheat men's solid hooded puffer jacket,product_description,keyword_based,low
Asli ga sarung tangan musim dingin arctic layar sentuh,product_description,generic,low
kok lama ya ya,order_status,generic,low
Order ord-001 gimana statusnya,order_status,keyword_based,clean
Admin arctic frost winter accessories bundle habis belum deh,product_stock,generic,high
totalyna berapa,product_price,keyword_based,medium
kemahalan ga Paket Aksesori Musim Dingin Arctic Frost,product_price,generic,medium
Ada ukuran apa arctic bliss stylish winter scarf,product_description,keyword_based,medium
Hi pakai apa eh bsa deh,payment_info,generic,medium
kecewa sama pelayanan,out_of_scope,keyword_based,medium
eh masih diproses ya please,order_status,generic,high
hi ada toko offline dong,out_of_scope,keyword_based,low
info lengkap arctic frost winter accessories bundle,product_description,keyword_based,medium
Transfer berapa,payment_info,keyword_based,low
misi murahan ga syal musim dingin arctic bliss penuh gaya ya,product_price,generic,clean
biaya admin berapa,payment_info,keyword_based,low
Support bri,payment_info,generic,clean
gimana sih Arctic Frost Winter Accessories Bundle,product_description,keyword_based,low
bos bisa dapeet arctic frost winter accessories,product_stock,keyword_based,low
uang saya kapan dikembalikan,out_of_scope,keyword_based,medium
ada kupluk rajut unisex arctic cozy,product_stock,keyword_based,low
hai biaya admin berapa min,payment_info,keyword_based,medium
gan kapan ready kaus kaki campuran wol arctic warmth dong,product_stock,hard_negative,medium
misi terima cash,payment_info,generic,low
omniheat men's solid hooded puffer jacket-blue-green-l harganya berapa,product_price,keyword_based,clean
status order ORD-001,order_status,keyword_based,clean
Tersedia apa,payment_info,generic,medium
via apa,payment_info,generic,low
ready bayar,payment_info,keyword_based,clean
berapa harga OmniHeat Men's Solid Hooded Puffer Jacket,product_price,keyword_based,low
Dimana,out_of_scope,ambiguous,clean
bisa beli Arctic Bliss Stylish Winter Scarf,product_stock,keyword_based,medium
kemahalan ga omniheat men's solid hooded puffer jacket-blue-green-l,product_price,generic,low
Arctic Frost Winter Accessories Bundle bisa dipakai untuk apa,product_description,keyword_based,clean
omniheat men's solid hooded puffer jacket-blue-green-l mahal ga,product_price,generic,medium
btw bisa ambil langsung ga ya,out_of_scope,keyword_based,low
asli ga arctic frost winter accessories,product_description,generic,low
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M ready,product_stock,keyword_based,low
Terjangkau ga,product_price,generic,medium
misi bayar pake apa ?,payment_info,keyword_based,low
Harga omniheat men's solid hooded puffer jacket-blue-green-m gimana,product_price,keyword_based,low
kak Paket Aksesori Musim Dingin Arctic Frost ready ya,product_stock,keyword_based,low
Ready transfer,payment_info,hard_negative,low
halo hrgnya promo min,product_price,hard_negative,low
Syal Musim Dingin Arctic Bliss Penuh Gaya waterproof ga,product_description,generic,clean
minta info harga,product_price,hard_negative,clean
mau tau syal musim dingin arctic bliss penuh gaya,product_description,hard_negative,clean
Itu gimana kelanjutannya,order_status,generic,medium
eh lewat mana,payment_info,generic,low
langsung kirim bisa omniheat men's solid hooded puffer jacket-blue-green-l,product_stock,generic,medium
st4tus refund,out_of_scope,hard_negative,low
Deskripsi arctic frost winter accessories bundle,product_description,keyword_based,clean
Hi pesanan ready kirim kapan min,order_status,keyword_based,medium
hai mau rfeund ?,out_of_scope,keyword_based,medium
refund availabble,out_of_scope,hard_negative,low
jaket puffer pria omniheat solid bertudung-biru-kuning-l berapa,product_price,keyword_based,clean
Detail sarung tangan musim dingin arctic layar sentuh,product_description,keyword_based,clean
Bisa info harga,product_price,hard_negative,clean
Ada ukuran hmm apa omniheat men's solid hooded puffer jacket-blue-green-m,product_description,keyword_based,medium
stok berapa harga berapa,out_of_scope,ambiguous,clean
permisi jaket puffer pria omniheat solid bertudung-biru-kuning-l bisa dibeli ya,product_stock,keyword_based,low
Totalnya berapa,product_price,keyword_based,low
eh review Syal Musim Dingin Arctic Bliss Penuh Gaya makasih,product_description,generic,clean
psnan 67890,order_status,hard_negative,low
Hai cara refund gimana thanks,out_of_scope,keyword_based,high
status order nomor 123,order_status,keyword_based,medium
Ada kabar ordre saa,order_status,keyword_based,medium
Terus gimana,out_of_scope,ambiguous,clean
Proudk tidak sesuai,out_of_scope,keyword_based,low
tracking pesanan 12345,order_status,keyword_based,low
Arctic Frost Winter Accessories bagus ga,product_description,generic,clean
Kupluk Rajut Unisex Arctic Cozy tuh apa sih,product_description,generic,medium
hi ekonomis ga ??,product_price,generic,medium
Min kapan pls,out_of_scope,ambiguous,low
gan kapan sampe dong,order_status,hard_negative,medium
Mau tau harga arctic bliss stylish winter scarf,product_price,hard_negative,clean
transfer brapa,payment_info,keyword_based,high
ada ukuran apa kupluk rajut unisex arctic cozy,product_description,keyword_based,medium
Kena berapa arctic bliss stylish winter scarf,product_price,keyword_based,low
